_id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation_time,qualifica,note,fonte_dato,3descrizione
,6,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,FG,15,6,3414,202406,2025-06-18T16:15:20.148346,Operatore,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,10,2023,,MINISTERO DELLA CULTURA,PZ,16,0,,202310,2025-06-18T16:15:20.148346,,,,MINISTERO DELLA CULTURA
,9,2023,22,AGENZIA DELLE ENTRATE,RN,7,0,1,202309,2025-06-18T16:15:20.148346,Dirigente,,,AGENZIA DELLE ENTRATE
,5,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,LC,3,,6,202405,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,9,2024,22,AGENZIA DELLE ENTRATE,AT,1,3,0,202409,2025-06-18T16:15:20.148346,,,,AGENZIA DELLE ENTRATE
,3,2023,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,TA,15,6,15,202303,2025-06-18T16:15:20.148346,Operatore,Verifica manuale,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,11,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PD,4,0,5,202311,2025-06-18T16:15:20.148346,,,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
,1,2024,21,AGENZIA DELLE DOGANE,CZ,17,0,1,202401,2025-06-18T16:15:20.148346,,,,AGENZIA DELLE DOGANE
,,2023,22,AGENZIA DELLE ENTRATE,SP,6,1,0,202306,2025-06-18T16:15:20.148346,Operatore,,,AGENZIA DELLE ENTRATE
,1,2023,12,,VA,3,0,3,202301,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO DELL'INTERNO
,9,2024,12,MINISTERO DELL'INTERNO,AG,18,1,4,,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO DELL'INTERNO
,11,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,SS,19,0,3,202411,2025-06-18T16:15:20.148346,Dirigente,,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
,5,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,Pn,5,0,1,202405,2025-06-18T16:15:20.148346,Operatore,,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
,9,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,PE,12,3144,18,202409,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,5,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,CL,18,3,2,202305,2025-06-18T16:15:20.148346,Funzionario,,,MINISTERO DELL'ECONOMIA E FINANZE
,,2023,5,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,RM,11,46,14,202309,2025-06-18T16:15:20.148346,Operatore,,,PRESIDENZA DEL CONSIGLIO DEI MINISTRI
,5,2023,11,"MINISTERO DELL'AGRICOLTURA, DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE",MI,3,2,0,202305,2025-06-18T16:15:20.148346,Operatore,,,"MINISTERO DELL'AGRICOLTURA, DELLA SOVRANITA' ALIMENTARE E DELLE FORESTE"
,9,2023,14,MINISTERO DELLA CULTURA,VI,4,2,0,202309,18-06-25,Impiegato,,,MINISTERO DELLA CULTURA
,,2024,12,MINISTERO DELL'INTERNO,PA,18,1,4,202409,2025-06-18T16:15:20.148346,Operatore,,,MINISTERO DELL'INTERNO
,,2023,19,MINISTERO UNIVERSITA' E RICERCA,VC,1,2,2,202304,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO UNIVERSITA' E RICERCA
,4,2024,8017,AGENZIA DEL DEMANIO,Pe,12,1,,202404,2025-06-18T16:15:20.148346,Impiegato,,,AGENZIA DEL DEMANIO
,4,2024,8017,AGENZIA DEL DEMANIO,CA,19,3,0,202404,2025-06-18T16:15:20.148346,Dirigente,,,AGENZIA DEL DEMANIO
,9,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,RO,4,1935,30,202409,2025-06-18T16:15:20.148346,,Da riconciliare,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,12,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,VB,1,78,156,202412,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,12,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,,8,18,0,202312,2025-06-18T16:15:20.148346,Operatore,,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
,4,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,MC,10,0,1,202304,2025-06-18T16:15:20.148346,Operatore,,,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
,8,2024,14,MINISTERO DELLA CULTURA,,14,0,28,202408,2025-06-18T16:15:20.148346,,,,MINISTERO DELLA CULTURA
,5,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,CE,14,237,12,202405,2025-06-18T16:15:20.148346,,Fonte secondaria,,MINISTERO DELL'ISTRUZIONE E DEL MERITO
,3,2024,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,RC,17,0,2,202403,2025-06-18T16:15:20.148346,Impiegato,,,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI
,11,2024,19,MINISTERO UNIVERSITA' E RICERCA,so,3,62,3,202411,2025-06-18T16:15:20.148346,Operatore,,,MINISTERO UNIVERSITA' E RICERCA
,1,2024,22,AGENZIA DELLE ENTRATE,AT,1,22,1,202412,2025-06-18T16:15:20.148346,Dirigente,,,AGENZIA DELLE ENTRATE
