mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation_time,qualifica,3descrizione
9,2024,22,AGENZIA DELLE ENTRATE,SA,14,1,1,202409,2025-06-18,Funzionario,AGENZIA DELLE ENTRATE
11,2024,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,RN,7,0,2,202411,2025-06-18,Impiegato,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.
10,2023,22,AGENZIA DELLE ENTRATE,AO,2,0,1,202310,2025-06-18,Impiegato,AGENZIA DELLE ENTRATE
1,2024,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,FE,7,0,2,202401,2025-06-18,Funzionario,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI
1,2024,22,Unknown,PE,12,0,1,202401,2025-06-18,Unknown,AGENZIA DELLE ENTRATE
9,2023,971,ARPAL PUGLIA,Unknown,15,0,1,202309,2025-06-18,Dirigente,ARPAL PUGLIA
1,2024,9,Unknown,SR,18,0,4,202405,2025-06-18,Impiegato,MINISTERO DELLA GIUSTIZIA
8,2024,4,Unknown,PN,5,12,1299,202408,2025-06-18,Impiegato,MINISTERO DELL'ISTRUZIONE E DEL MERITO
1,2024,22,AGENZIA DELLE ENTRATE,FC,7,2,2,202401,2025-06-18,Dirigente,AGENZIA DELLE ENTRATE
4,2023,1,MINISTERO DELL'ECONOMIA E FINANZE,NU,19,1,2,202304,2025-06-18,Unknown,MINISTERO DELL'ECONOMIA E FINANZE
12,2023,21,AGENZIA DELLE DOGANE,SO,3,1,0,202312,2025-06-18,Operatore,AGENZIA DELLE DOGANE
4,2024,19,MINISTERO UNIVERSITA' E RICERCA,TV,4,1,530,202404,2025-06-18,Unknown,MINISTERO UNIVERSITA' E RICERCA
2,2024,19,MINISTERO UNIVERSITA' E RICERCA,NO,1,4,2,202402,2025-06-18,Dirigente,MINISTERO UNIVERSITA' E RICERCA
5,2024,12,MINISTERO DELL'INTERNO,PN,5,0,1,202405,2025-06-18,Operatore,MINISTERO DELL'INTERNO
2,2024,19,MINISTERO UNIVERSITA' E RICERCA,BN,14,1,3,202402,2025-06-18,Operatore,MINISTERO UNIVERSITA' E RICERCA
