id,rata,ente,descrizione,cod_tipoimposta,tipo_imposta,cod_imposta,imposta,spesa,aggregation_time,area_geografica
659f41729b1c14690c5c4103,202312,969,ORDINE DEGLI PSICOLOGI DEL LAZIO,2,Erariali,6,IRAP,8490.19,2024-11-01,Nord
661738e6262bc367cf0df835,202403,816,COMUNE DI CAROSINO,2,Erariali,8,Addizionali Comunali,596.69,2024-11-04,Centro
659f417b9b1c14690c5c41d5,202312,14,MINISTERO PER I BENI E LE ATTIVITA' CULTURALI,4,Varie,12,,112073.93,2024-11-01,
6667a4b7262bc331bdcd0b19,202405,958,AUTORITA' DI BACINO DISTRETTUALE DELL'APPENNINO CENTRALE,4,Varie,11,Prestiti,3272.14,2024-11-06,
65c81f2c3f62191d310d64d5,202401,969,ORDINE DEGLI PSICOLOGI DEL LAZIO,4,Varie,10,Ritenute Sindacali,69.83,2024-11-02,
65c81f2b3f62191d044e2ad8,202401,829,COMUNE DI MERCATO SAN SEVERINO,2,Erariali,5,IRPEF,22160.89,2024-02-11,
659f417d9b1c1468e2e39a87,202312,906,IRCCS LAZZARO SPALLANZANI,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,1624224.99,2024-11-01,Nord
663ec5f43f62190222cfb6e3,202404,7,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,4,Varie,9,Riscatti,10145.48,2024-11-05,Sud
65ee5ac7eb0f334c5c3675b5,202402,816,COMUNE DI CAROSINO,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,12594.31,2024-11-03,Centro
65ee5ac7eb0f334c5c367594,202402,18,CORTE DEI CONTI,2,Erariali,8,Addizionali Comunali,3018.92,2024-11-03,Centro
66e0ee5df458af5423ceb533,,805,AGENZIA NAZIONALE PER LA SICUREZZA DEL VOLO,3,Previdenziali,14,Previdenziali a carico del lavoratore,19004.42,2024-11-09,
6667a4c1262bc331baee7444,202405,925,AUTORITA' GARANTE PER L'INFANZIA E L'ADOLESCENZA AGIA,4,Varie,11,Prestiti,862.95,2024-11-06,
66bf60490377f64b681b5120,202407,938,ENTE PARCO NAZIONALE DELLA MAJELLA,2,Erariali,5,IRPEF,13483.91,2024-08-16,Centro
661738e49b1c14196e7da2e5,202403,23,AGENZIA PER LE EROGAZIONI IN AGRICOLTURA,2,Erariali,,IRPEF,149264.24,2024-04-11,
65ee5ac7eb0f334c8d2b5b2b,202402,950,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,1,Netto,15,Netto,916336.84,2024-11-03,
661738e49b1c14196e7da349,202403,12,,2,Erariali,,IRAP,41706234.57,2024-11-04,Centro
671a7806e28f8d6b0a19d159,202409,834,COMUNE DI MONTORFANO,4,Varie,10,Ritenute Sindacali,89.33,2024-10-24,Centro
668f34119b1c1405cffd2d96,202406,971,ARPAL PUGLIA,4,Varie,,Prestiti,17678.63,2024-11-07,Isole
661738e59b1c1417e85d3732,202403,8017,AGENZIA DEL DEMANIO,4,Varie,11,Prestiti,40822.52,2024-11-04,Sud
66bf60530377f64b679f28f6,202407,958,AUTORITA' DI BACINO DISTRETTUALE DELL'APPENNINO CENTRALE,4,Varie,12,Altre voci,516.82,2024-08-16,Isole
6667a4b7262bc331bdcd0ba3,202405,831,COMUNE DI CORLETO MONFORTE,4,Varie,9,Riscatti,266.29,2024-11-06,Centro
6731590c568f146446645d5e,,907,AZIENDA OSPEDALIERA SAN CAMILLO FORLANINI,2,Erariali,6,IRAP,1237039.88,2024-11-11,Nord
6667a4c1262bc331baee7409,202405,974,,4,Varie,10,Ritenute Sindacali,2195.42,2024-11-06,Centro
6667a4b7262bc331baee738f,202405,3,MINISTERO DELLA DIFESA,2,Erariali,8,,5425960.15,2024-06-11,Centro
671a7806e28f8d6b0a19d1de,202409,31,INVALSI,4,Varie,11,,3712.25,2024-10-24,Sud
659f41739b1c14690c5c4133,202312,7,MINISTERO DEGLI AFFARI ESTERI E DELLA COOPERAZIONE INTERNAZIONALE,2,Erariali,8,Addizionali Comunali,2380.44,2024-11-01,Nord
659f417b9b1c14690c5c41e5,202312,3,MINISTERO DELLA DIFESA,4,Varie,10,Ritenute Sindacali,355835.82,2024-11-01,Isole
66e0ee5bf458af54a5dbc788,202408,8,MINISTERO DEL LAVORO E DELLE POLITICHE SOCIALI,2,Erariali,6,IRAP,275273.9,2024-11-09,
661738e6262bc367cf0df852,202403,938,ENTE PARCO NAZIONALE DELLA MAJELLA,2,Erariali,8,Addizionali Comunali,755.57,2024-11-04,Centro
66bf60490377f64b679f281b,202407,925,AUTORITA' GARANTE PER L'INFANZIA E L'ADOLESCENZA AGIA,2,Erariali,8,Addizionali Comunali,1789.98,2024-08-16,Isole
65c81f2b3f62191d310d647f,202401,957,ORDINE DOTT. COMMERCIALISTI ED ESPERTI CONTABILI DI VERONA,3,Previdenziali,14,Previdenziali a carico del lavoratore,485.06,2024-11-02,Sud
671a7805568f1404768e2b49,202409,898,ENTE STRUMENTALE ALLA CROCE ROSSA ITALIANA,2,Erariali,8,Addizionali Comunali,636.06,2024-10-24,Isole
671a7806e28f8d6b0a19d17b,,23,AGENZIA PER LE EROGAZIONI IN AGRICOLTURA,4,Varie,9,Riscatti,686.01,2024-10-24,Isole
6667a4b7262bc331bdcd0b40,202405,868,ANBSC-AGENZIA NAZIONALE BENI SEQUESTRATI E CONFISCATI,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,117540.1,2024-11-06,Nord
66bf604a0377f64b679f2837,202407,18,CORTE DEI CONTI,2,Erariali,8,Addizionali Comunali,149109.1,2024-08-16,Isole
663ec5f43f62190222cfb6b8,,27,AGENZIA NAZIONALE PER I GIOVANI - ANG,3,Previdenziali,14,Previdenziali a carico del lavoratore,3389.42,2024-05-11,
671a780d568f1404768e2be6,202409,958,AUTORITA' DI BACINO DISTRETTUALE DELL'APPENNINO CENTRALE,4,Varie,11,Prestiti,3272.14,2024-10-24,
66e0ee65f458af54a5dbc82d,202408,5,PRESIDENZA DEL CONSIGLIO DEI MINISTRI,4,Varie,9,Riscatti,8581.67,2024-09-11,Centro
65c81f2c3f62191d310d64e9,202401,22,AGENZIA DELLE ENTRATE,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,26721826.91,2024-11-02,Centro
65c81f2bf458af1d35de6265,202401,32,ISTITUTO SUPERIORE DI SANITA',2,Erariali,5,IRPEF,1472984.65,2024-11-02,Sud
663ec5f53f62190222cfb75e,202404,952,AZIENDA SANITARIA LOCALE ROMA 2,3,Previdenziali,13,Previdenziali a carico del datore di lavoro,6470964.86,2024-11-05,
6667a4b7262bc331bdcd0b4e,202405,17,CONSIGLIO DI STATO E T.A.R.,2,Erariali,7,Addizionali Regionali,285791.47,2024-11-06,Sud
66e0ee64f458af5423ceb570,202408,25,ARCHIVI NOTARILI,2,Erariali,5,IRPEF,160598.91,2024-11-09,Sud
668f34110377f62206882c6d,202406,822,REGIONE LAZIO,4,Varie,10,Ritenute Sindacali,11545.15,2024-11-07,Sud
6731590c568f146439948fb4,202410,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,4,Varie,10,Ritenute Sindacali,98011.0,2024-11-11,Sud
65ee5ac6f458af56cdec181a,202402,977,COMUNE DI SERRENTI,2,Erariali,5,IRPEF,7980.32,2024-11-03,Nord
66bf604a0377f64b679f285f,202407,17,CONSIGLIO DI STATO E T.A.R.,1,Netto,15,Netto,7341146.19,2024-08-16,Isole
668f34079b1c1405cffd2d04,202406,28,CONSIGLIO PER RIC. IN AGRICOLTURA E ANALISI ECONOMIA AGRARIA,4,Varie,10,Ritenute Sindacali,11782.39,2024-11-07,Sud
668f34139b1c1405cffd2e39,202406,916,,3,Previdenziali,,Previdenziali a carico del datore di lavoro,3669845.82,2024-11-07,Centro
668f34079b1c1405cffd2cfb,202406,867,AGENZIA ITALIANA DEL FARMACO - AIFA,1,Netto,15,Netto,1372808.6,2024-11-07,Sud
66e0ee5df458af5423ceb521,202408,22,AGENZIA DELLE ENTRATE,4,Netto,9,Riscatti,64447.38,2024-11-09,Isole
66bf60530377f64b679f28e8,202407,,MINISTERO DELL'ISTRUZIONE E DEL MERITO,4,Varie,12,Altre voci,36698230.71,2024-08-16,Isole
66e0ee65f458af54a5dbc865,202408,,ENTE PARCO NAZIONALE DELLA MAJELLA,4,Varie,11,Prestiti,3501.7,2024-11-09,Nord
