_id,mese,anno,codice_ente,descrizione_ente,provincia_sede,regione_sede,attivazioni,cessazioni,RATA,aggregation-time,qualifica,note,fonte_dato,Provincia Sede,CODICE ENTE,3descrizione,regione%sede,att ivazioni
6852caf0205349164bea5381,12,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,null,19,3,4,12/2023,2025-06-18T16:15:20.148346,Dirigente,,,SS,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,19,3
6852caf3205349164bead747,5,2024,21,AGENZIA DELLE DOGANE,MS,08,0,1,202405,2025-06-18T16:15:20.148346,Operatore,,,MS,21,AGENZIA DELLE DOGANE,08,0
6852cae7205349164be8b9fe,8,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,SO,03,0,2,202308,GIU 18 2025,Funzionario,,,SO,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,03,0
6852caf0205349164bea528b,7,2023,938,ENTE PARCO NAZIONALE DELLA MAJELLA,AQ,12,0,1,202307,GIU 18 2025,Dirigente,,,AQ,938,ENTE PARCO NAZIONALE DELLA MAJELLA,12,0
6852caf6205349164beb8ccc,12,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,CA,19,1,7,202312,2025-06-18T16:15:20.148346,,,,CA,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,19,1
6852caff79c2715845d948f1,3,2024,954,ISPETTORATO NAZIONALE DEL LAVORO,PG,09,0,1,202403,2025-06-18T16:15:20.148346,,,,PG,954,ISPETTORATO NAZIONALE DEL LAVORO,09,0
6852cb006555da0907a41253,6,2024,9,MINISTERO DELLA GIUSTIZIA,GR,08,13,2,202406,2025-06-18T16:15:20.148346,,,,GR,9,MINISTERO DELLA GIUSTIZIA,08,13
6852caef205349164bea1021,11,2023,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,VR ,04,0,2,202311,2025-06-18T16:15:20.148346,,,,VR,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,04,0
6852caf2205349164beaca24,7,2023,9,MINISTERO DELLA GIUSTIZIA,VE,?,4,4,202307,2025-06-18T16:15:20.148346,Dirigente,,,VE,9,MINISTERO DELLA GIUSTIZIA,04,4
6852caeb205349164be957f0,4,2024,12,MINISTERO DELL'INTERNO,SS,19,1,2,202404,2025-06-18T16:15:20.148346,Funzionario,,,SS,12,MINISTERO DELL'INTERNO,19,1
6852cae9205349164be8fc8b,Settembre,2023,2,//,BS,03,2,0,202309,2025-06-18T16:15:20.148346,,,,BS,2,MINISTERO DELLE INFRASTRUTTURE E DEI TRASPORTI,03,2
6852caf6205349164beb965c,10,2023,17,CONSIGLIO DI STATO E T.A.R.,RM,11,5,8,202310,18-06-25,,,,RM,17,CONSIGLIO DI STATO E T.A.R.,11,5
6852caf7205349164bebd72f,3,2023,9,MINISTERO DELLA GIUSTIZIA,TP,18,4,10,202303,2025-06-18T16:15:20.148346,Dirigente,,,TP,9,MINISTERO DELLA GIUSTIZIA,18,4
6852caea205349164be9233c,1,2023,9,MINISTERO DELLA GIUSTIZIA,PD,04,3,5,202301,GIU 18 2025,Operatore,,,PD,9,MINISTERO DELLA GIUSTIZIA,04,3
6852caf7205349164bebc955,12,2024,22,AGENZIA DELLE ENTRATE,LO,03,12,0,202412,2025-06-18T16:15:20.148346,Dirigente,,,LO,22,AGENZIA DELLE ENTRATE,03,12
6852caf4205349164beb1b14,3,2023,18,CORTE DEI CONTI,BZ,20,2,0,202303,2025-06-18T16:15:20.148346,Dirigente,,,BZ,18,CORTE DEI CONTI,20,2
6852caec205349164be98581,7,2023, ,?,RE,n.d.,0,1,202307,2025-06-18T16:15:20.148346,Impiegato,,,RE,12,MINISTERO DELL'INTERNO,07,0
6852cafe205349164bec16f9,11,2023,9,MINISTERO DELLA GIUSTIZIA,RG,18,0,4,NOV-2023,2025-06-18T16:15:20.148346,Funzionario,,,RG,9,MINISTERO DELLA GIUSTIZIA,18,0
6852caeb205349164be958eb,4,2024,22,AGENZIA DELLE ENTRATE,Pi,NULL,0,1,202404,2025-06-18T16:15:20.148346,Funzionario,,,PI,22,AGENZIA DELLE ENTRATE,08,0
6852caef205349164bea3628,8,2023,19,MINISTERO UNIVERSITA' E RICERCA,AR,08,14,476,202308,2025-06-18T16:15:20.148346,Impiegato,,,AR,19,MINISTERO UNIVERSITA' E RICERCA,08,14
6852caf0205349164bea39a5,9,2023,22,AGENZIA DELLE ENTRATE,AO,02,0,1,202309,2025-06-18T16:15:20.148346,Dirigente,,,AO,22,AGENZIA DELLE ENTRATE,02,0
6852caf4205349164beb32ba,10,2024,8017,null,TO,01,1,0,202410,2025-06-18T16:15:20.148346,Operatore,,,TO,8017,AGENZIA DEL DEMANIO,01,1
6852caea205349164be93c83,12,2023,9,MINISTERO DELLA GIUSTIZIA,SI,08,2,0,12/2023,2025-06-18T16:15:20.148346,,,,SI,9,MINISTERO DELLA GIUSTIZIA,08,2
6852caea205349164be92a50,mese 3,2023,21,AGENZIA DELLE DOGANE,va,03,0,1,202303,18/06/2025,Dirigente,,,VA,21,AGENZIA DELLE DOGANE,03,0
6852cad9c1e0062992432240,1,2024,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,MI,03,29589,2043,202409,2025-06-18T16:15:20.148346,Dirigente,,,MI,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,03,29589
6852cae9205349164be908b0,3,2023,22,AGENZIA DELLE ENTRATE,LU,08,0,1,202303,2025-06-18T16:15:20.148346,Dirigente,,,LU,22,AGENZIA DELLE ENTRATE,08,0
6852caf6205349164beb8539,5,2024,21,AGENZIA DELLE DOGANE,VA,03,0,2,202405,2025-06-18T16:15:20.148346,Impiegato,Dato stimato,,VA,21,AGENZIA DELLE DOGANE,03,0
6852cae7205349164be8a6b0,mese 7,2023,22,AGENZIA DELLE ENTRATE,BS,03,0,1,202307,2025-06-18T16:15:20.148346,,,,BS,22,AGENZIA DELLE ENTRATE,03,0
6852caeb205349164be96dbf,9,2023,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,PI,08,1,5,2023-09,2025-06-18T16:15:20.148346,Funzionario,,,PI,2020,MINISTERO DELL'INTERNO - DIPARTIMENTO DELLA P.S.,08,1
6852cb039952cb647ef38f41,1,2024,12,MINISTERO DELL'INTERNO,RO,04,0,1,202401,2025-06-18T16:15:20.148346,Impiegato,,,RO,12,MINISTERO DELL'INTERNO,04,0
6852caf6205349164beb7a4c,12,2024,9,MINISTERO DELLA GIUSTIZIA,RA,07,1,11,202412,2025-06-18T16:15:20.148346,Impiegato,,,RA,9,MINISTERO DELLA GIUSTIZIA,07,1
6852caf8205349164bebf727,5,2023,950,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,RM,11,33,3,202305,2025-06-18T16:15:20.148346,Funzionario,,,RM,950,AGENZIA ITALIANA PER LA COOPERAZIONE ALLO SVILUPPO,11,33
6852caf5205349164beb62a5,4,2022,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,GR,08,0,9,202304,2025-06-18T16:15:20.148346,,,,GR,4,MINISTERO DELL'ISTRUZIONE E DEL MERITO,08,0
6852caf8205349164bebf115,4,2023,19,MINISTERO UNIVERSITA' E RICERCA,CR,03,2,2,202304,2025-06-18T16:15:20.148346,Funzionario,,,CR,19,MINISTERO UNIVERSITA' E RICERCA,03,2
6852caf6205349164beb77dd,9,2023,4056,AGENZIA PER L'ITALIA DIGITALE,RM,11,1,1,202309,2025-06-18T16:15:20.148346,Operatore,,,RM,4056,AGENZIA PER L'ITALIA DIGITALE,11,1
6852caf0205349164bea4b47,9,2023,19,MINISTERO UNIVERSITA' E RICERCA,LU,08,1047,11,202309,2025-06-18T16:15:20.148346,Funzionario,,,LU,19,MINISTERO UNIVERSITA' E RICERCA,08,1047
